"","Roster Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Salary Rank","Salary","Total Rank","Age","Games","Games Started","Minutes Played","Field Goals","Field Goal Attempts","Field Goal Percentage","Three-Point Field Goals","Three-Point Field Goal Attempts","Three-Point Field Goal Percentage","Two-Point Field Goals","Two-Point Field Goal Attempts","Two-Point Field Goal Percentage","Effective Field Goal Percentage","Free Throws","Free Throw Attempts","Free Throw Percentage","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Team"
"115",5,"Kentavious Caldwell-Pope","SG",77,205,"February 18, 1993","us","2","University of Georgia",9,2891760,2,22,76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105,"DET"
"116",13,"Marcus Morris","SF",81,235,"September 2, 1989","us","4","University of Kansas",6,5000000,1,26,80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131,"DET"
"117",25,"Reggie Bullock","SF",79,205,"March 16, 1991","us","2","University of North Carolina",15,1252440,11,24,37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122,"DET"
"118",1,"Reggie Jackson","PG",75,208,"April 16, 1990","it","4","Boston College",2,14000000,4,25,79,79,2424,540,1244,0.434,118,334,0.353,422,910,0.464,0.482,291,337,0.864,58,195,253,492,59,11,223,187,1489,"DET"
"119",8,"Spencer Dinwiddie","PG",78,200,"April 6, 1993","us","1","University of Colorado",16,845059,14,22,12,0,159,19,54,0.352,1,10,0.1,18,44,0.409,0.361,19,33,0.576,4,13,17,22,3,0,7,20,58,"DET"
"120",3,"Stanley Johnson","SF",79,245,"May 29, 1996","us","R","University of Arizona",10,2841960,5,19,73,6,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593,"DET"
"121",22,"Steve Blake","PG",75,172,"February 26, 1980","us","12","University of Maryland",13,2170465,9,35,58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254,"DET"
"122",34,"Tobias Harris","PF",81,235,"July 15, 1992","us","4","University of Tennessee",1,16000000,10,23,27,25,903,166,348,0.477,33,88,0.375,133,260,0.512,0.524,82,90,0.911,25,143,168,70,18,12,30,62,447,"DET"
"123",0,"Aaron Brooks","PG",72,161,"January 14, 1985","us","7","University of Oregon",9,2000000,9,31,69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,"CHI"
"124",5,"Bobby Portis","PF",83,230,"February 10, 1995","us","R","University of Arkansas",11,1391160,10,20,62,4,1102,186,436,0.427,16,52,0.308,170,384,0.443,0.445,48,66,0.727,123,214,337,52,25,22,54,100,436,"CHI"
"125",41,"Cameron Bairstow","C",81,250,"December 7, 1990","au","1","University of New Mexico",14,845059,16,25,18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34,"CHI"
"126",6,"Cristiano Felicio","C",82,275,"July 7, 1992","br","R","",15,525090,15,23,31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105,"CHI"
"127",1,"Derrick Rose","PG",75,190,"October 4, 1988","us","6","University of Memphis",1,20093063,3,27,66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,"CHI"
"128",3,"Doug McDermott","SF",80,225,"January 3, 1992","us","1","Creighton University",8,2380440,5,24,81,4,1861,291,644,0.452,110,259,0.425,181,385,0.47,0.537,72,84,0.857,37,158,195,59,14,6,53,127,764,"CHI"
"129",55,"E'Twaun Moore","SG",76,191,"February 28, 1989","us","4","Purdue University",12,1015421,8,26,59,22,1263,187,389,0.481,47,104,0.452,140,285,0.491,0.541,22,35,0.629,19,114,133,99,37,18,53,103,443,"CHI"
"130",21,"Jimmy Butler","SG",79,220,"September 14, 1989","us","4","Marquette University",2,15260000,1,26,67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,"CHI"
"131",13,"Joakim Noah","C",83,230,"February 25, 1985","us","8","University of Florida",3,13400000,12,30,29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124,"CHI"
"132",7,"Justin Holiday","SG",78,185,"April 5, 1989","us","2","University of Washington",13,947300,14,26,27,4,510,64,155,0.413,26,60,0.433,38,95,0.4,0.497,22,27,0.815,8,55,63,45,19,15,26,40,176,"CHI"
"133",34,"Mike Dunleavy","SF",81,230,"September 15, 1980","us","13","Duke University",7,4500000,11,35,31,30,703,77,188,0.41,39,99,0.394,38,89,0.427,0.513,29,37,0.784,8,75,83,39,14,10,26,66,222,"CHI"
"134",44,"Nikola Mirotic","PF",82,220,"February 11, 1991","me","1","",6,5543725,6,24,66,38,1646,248,609,0.407,135,346,0.39,113,263,0.43,0.518,146,181,0.807,58,304,362,100,58,46,102,151,777,"CHI"
"135",16,"Pau Gasol","C",84,250,"July 6, 1980","es","14","",5,7448760,2,35,72,72,2291,467,995,0.469,24,69,0.348,443,926,0.478,0.481,229,289,0.792,155,638,793,294,42,146,164,148,1187,"CHI"
"136",22,"Taj Gibson","PF",81,225,"June 24, 1985","us","6","University of Southern California",4,8500000,4,30,73,55,1936,263,500,0.526,0,3,0,263,497,0.529,0.526,101,146,0.692,206,298,504,106,47,77,78,180,627,"CHI"
"137",20,"Tony Snell","SF",79,200,"November 10, 1991","us","2","University of New Mexico",10,1535880,7,24,64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338,"CHI"
"138",6,"Alan Anderson","SG",78,220,"October 16, 1982","us","6","Michigan State University",9,4000000,16,33,13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,"WAS"
"139",3,"Bradley Beal","SG",77,207,"June 28, 1993","us","3","University of Florida",5,5694674,6,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,"WAS"
"140",90,"Drew Gooden","PF",82,250,"September 24, 1981","us","13","University of Kansas",10,3300000,13,34,30,0,305,33,103,0.32,7,41,0.171,26,62,0.419,0.354,9,14,0.643,28,57,85,13,8,11,13,40,82,"WAS"
"141",17,"Garrett Temple","SF",78,195,"May 8, 1986","us","5","Louisiana State University",14,1100602,5,29,80,43,1951,201,505,0.398,89,258,0.345,112,247,0.453,0.486,91,125,0.728,36,176,212,140,69,18,64,195,582,"WAS"
"142",14,"Gary Neal","SG",76,210,"October 3, 1984","us","5","Towson University",12,2100000,9,31,40,2,807,151,325,0.465,41,100,0.41,110,225,0.489,0.528,47,55,0.855,11,72,83,47,20,1,29,55,390,"WAS"
"143",21,"J.J. Hickson","C",81,242,"September 4, 1988","us","7","North Carolina State University",16,366337,18,27,15,0,131,25,46,0.543,0,1,0,25,45,0.556,0.543,19,44,0.432,17,28,45,7,5,2,9,12,69,"WAS"
"144",1,"Jared Dudley","PF",79,225,"July 10, 1985","us","8","Boston College",8,4250000,4,30,81,41,2098,233,487,0.478,100,238,0.42,133,249,0.534,0.581,72,98,0.735,54,232,286,170,75,18,80,190,638,"WAS"
"145",8,"Jarell Eddie","SF",79,218,"October 30, 1991","us","R","Virginia Polytechnic Institute and State University",15,561716,17,24,26,0,147,20,65,0.308,15,47,0.319,5,18,0.278,0.423,8,8,1,2,21,23,5,5,1,1,5,63,"WAS"
"146",2,"John Wall","PG",76,195,"September 6, 1990","us","5","University of Kentucky",1,15851950,1,25,77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531,"WAS"
"147",12,"Kelly Oubre","SF",79,205,"December 9, 1995","us","R","University of Kansas",13,1920240,11,20,63,9,671,90,211,0.427,25,79,0.316,65,132,0.492,0.486,31,49,0.633,25,108,133,13,22,7,34,100,236,"WAS"
"148",13,"Marcin Gortat","C",83,240,"February 17, 1984","pl","8","",3,11217391,3,31,75,74,2256,433,764,0.567,0,1,0,433,763,0.567,0.567,146,207,0.705,222,519,741,106,47,96,121,193,1012,"WAS"
"149",15,"Marcus Thornton","SG",76,205,"June 5, 1987","us","6","Louisiana State University",17,251107,14,28,14,2,224,42,107,0.393,18,54,0.333,24,53,0.453,0.477,16,21,0.762,7,28,35,19,13,1,11,17,118,"WAS"
"150",5,"Markieff Morris","PF",82,245,"September 2, 1989","us","4","University of Kansas",4,8000000,10,26,27,21,712,134,287,0.467,25,79,0.316,109,208,0.524,0.51,42,55,0.764,30,128,158,37,25,17,45,80,335,"WAS"
"151",42,"Nene Hilario","PF",83,250,"September 13, 1982","br","13","",2,13000000,8,33,57,11,1094,209,384,0.544,0,3,0,209,381,0.549,0.544,107,185,0.578,52,207,259,97,54,26,76,156,525,"WAS"
"152",22,"Otto Porter","SF",80,198,"June 3, 1993","us","2","Georgetown University",7,4662960,2,22,75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871,"WAS"
"153",7,"Ramon Sessions","PG",75,190,"April 11, 1986","us","8","University of Nevada, Reno",11,2170465,7,29,82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810,"WAS"
"154",15,"Ryan Hollins","C",84,240,"October 10, 1984","us","9","University of California, Los Angeles",18,176375,19,31,5,3,48,4,7,0.571,0,0,NA,4,7,0.571,0.571,0,0,NA,7,4,11,0,0,1,3,4,8,"WAS"
"155",0,"Aaron Gordon","PF",81,220,"September 16, 1995","us","1","University of Arizona",7,4171680,5,20,78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,"ORL"
"156",44,"Andrew Nicholson","PF",81,250,"December 8, 1989","ca","3","St. Bonaventure University",10,2380594,9,26,56,0,823,146,310,0.471,41,114,0.36,105,196,0.536,0.537,51,65,0.785,34,167,201,25,10,22,41,69,384,"ORL"
"157",55,"Brandon Jennings","PG",73,170,"September 23, 1989","us","6","",2,8344497,14,26,25,6,452,59,161,0.366,27,78,0.346,32,83,0.386,0.45,30,40,0.75,11,39,50,100,18,5,35,33,175,"ORL"
"158",32,"C.J. Watson","PG",74,175,"April 17, 1984","us","8","University of Tennessee",5,5000000,12,31,33,2,656,47,137,0.343,14,48,0.292,33,89,0.371,0.394,34,39,0.872,10,56,66,88,19,5,25,49,142,"ORL"
"159",11,"Devyn Marble","SG",78,200,"September 21, 1992","us","1","University of Iowa",16,845059,16,23,28,0,249,21,71,0.296,8,32,0.25,13,39,0.333,0.352,10,24,0.417,6,32,38,12,13,1,7,25,60,"ORL"
"160",3,"Dewayne Dedmon","C",84,245,"August 12, 1989","us","2","University of Southern California",15,947278,11,26,58,20,705,99,177,0.559,0,0,NA,99,177,0.559,0.559,57,76,0.75,67,161,228,13,22,46,32,109,255,"ORL"
"161",4,"Elfrid Payton","PG",76,185,"February 22, 1994","us","1","University of Louisiana at Lafayette",9,2505720,3,21,73,69,2145,318,730,0.436,30,92,0.326,288,638,0.451,0.456,112,190,0.589,77,184,261,468,89,20,177,159,778,"ORL"
"162",7,"Ersan Ilyasova","PF",82,235,"May 15, 1987","tr","7","",3,7900000,15,28,22,4,447,64,153,0.418,18,44,0.409,46,109,0.422,0.477,32,45,0.711,45,76,121,12,14,6,12,51,178,"ORL"
"163",10,"Evan Fournier","SF",79,205,"October 29, 1992","fr","3","",11,2288205,1,23,79,71,2566,429,929,0.462,156,390,0.4,273,539,0.506,0.546,199,238,0.836,33,192,225,213,96,2,133,214,1213,"ORL"
"164",14,"Jason Smith","C",84,245,"March 2, 1986","us","7","Colorado State University",6,4300000,8,29,76,2,1181,244,503,0.485,4,16,0.25,240,487,0.493,0.489,54,67,0.806,53,166,219,62,33,65,57,163,546,"ORL"
"165",15,"Keith Appling","PG",73,185,"February 13, 1992","us","R","Michigan State University",18,161776,17,23,5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6,"ORL"
"166",23,"Mario Hezonja","SF",80,215,"February 25, 1995","hr","R","",8,3741480,7,20,79,9,1413,181,418,0.433,67,192,0.349,114,226,0.504,0.513,49,54,0.907,28,148,176,109,39,17,97,124,478,"ORL"
"167",9,"Nikola Vucevic","C",84,260,"October 24, 1990","ch","4","University of Southern California",1,11250000,4,25,65,60,2037,533,1046,0.51,2,9,0.222,531,1037,0.512,0.511,113,150,0.753,174,402,576,179,53,70,123,173,1181,"ORL"
"168",13,"Shabazz Napier","PG",73,175,"July 14, 1991","us","1","University of Connecticut",12,1294440,13,24,55,0,600,68,201,0.338,34,104,0.327,34,97,0.351,0.423,33,45,0.733,9,46,55,97,23,1,46,38,203,"ORL"
"169",5,"Victor Oladipo","SG",76,210,"May 4, 1992","us","2","Indiana University",4,5192520,2,23,72,52,2379,425,970,0.438,98,282,0.348,327,688,0.475,0.489,205,247,0.83,48,297,345,282,116,54,153,174,1153,"ORL"
"170",17,"Damien Inglis","SF",80,246,"May 20, 1995","gf","R","",14,855000,15,20,20,1,156,13,37,0.351,3,13,0.231,10,24,0.417,0.392,7,8,0.875,2,29,31,10,6,3,11,11,36,"MIL"
"171",34,"Giannis Antetokounmpo","PG",83,222,"December 6, 1994","gr","2","",10,1953960,2,21,80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350,"MIL"
"172",15,"Greg Monroe","C",83,265,"June 4, 1990","us","5","Georgetown University",1,16400000,4,25,79,67,2314,491,941,0.522,0,1,0,491,940,0.522,0.522,228,308,0.74,218,478,696,178,72,67,129,163,1210,"MIL"
"173",21,"Greivis Vasquez","PG",78,217,"January 16, 1987","ve","5","University of Maryland",4,6600000,13,29,23,0,460,45,138,0.326,18,73,0.247,27,65,0.415,0.391,22,26,0.846,5,42,47,91,10,0,40,42,130,"MIL"
"174",12,"Jabari Parker","PF",80,250,"March 15, 1995","us","1","Duke University",5,5152440,3,20,76,72,2408,443,899,0.493,9,35,0.257,434,864,0.502,0.498,175,228,0.768,123,272,395,130,69,29,116,154,1070,"MIL"
"175",9,"Jared Cunningham","SG",76,195,"May 22, 1991","us","3","Oregon State University",17,57726,16,24,4,0,55,4,14,0.286,2,7,0.286,2,7,0.286,0.357,6,7,0.857,0,9,9,1,2,0,3,4,16,"MIL"
"176",19,"Jerryd Bayless","SG",75,200,"August 20, 1988","us","7","University of Arizona",6,3000000,6,27,52,18,1505,185,437,0.423,101,231,0.437,84,206,0.408,0.539,70,90,0.778,21,120,141,163,47,11,73,111,541,"MIL"
"177",31,"John Henson","C",83,229,"December 28, 1990","us","3","University of North Carolina",7,2943221,9,25,57,1,960,164,291,0.564,0,1,0,164,290,0.566,0.564,69,117,0.59,87,134,221,54,18,109,64,131,397,"MIL"
"178",77,"Johnny O'Bryant","PF",81,257,"June 1, 1993","us","1","Louisiana State University",15,845059,11,22,66,4,857,86,209,0.411,1,1,1,85,208,0.409,0.414,27,40,0.675,65,111,176,32,18,8,31,100,200,"MIL"
"179",22,"Khris Middleton","SG",80,234,"August 12, 1991","us","3","Texas A&M University",2,15000000,1,24,79,79,2852,507,1142,0.444,143,361,0.396,364,781,0.466,0.507,277,312,0.888,44,258,302,331,131,19,180,204,1434,"MIL"
"180",5,"Michael Carter-Williams","PG",78,190,"October 10, 1991","us","2","Syracuse University",8,2399040,5,24,54,37,1649,251,555,0.452,15,55,0.273,236,500,0.472,0.466,106,162,0.654,48,228,276,281,80,41,153,162,623,"MIL"
"181",18,"Miles Plumlee","C",83,249,"September 1, 1988","us","3","Duke University",9,2109294,10,27,61,14,870,140,233,0.601,0,0,NA,140,233,0.601,0.601,34,59,0.576,94,138,232,16,21,50,40,73,314,"MIL"
"182",3,"O.J. Mayo","SG",77,210,"November 5, 1987","us","7","University of Southern California",3,8000000,7,28,41,24,1090,119,321,0.371,52,162,0.321,67,159,0.421,0.452,31,40,0.775,13,92,105,118,48,8,72,126,321,"MIL"
"183",20,"Rashad Vaughn","SG",78,202,"August 16, 1996","us","R","University of Nevada, Las Vegas",12,1733040,8,19,70,6,1001,81,266,0.305,43,147,0.293,38,119,0.319,0.385,12,15,0.8,11,77,88,39,29,16,28,73,217,"MIL"
"184",6,"Steve Novak","PF",82,225,"June 13, 1983","us","9","Marquette University",16,416886,17,32,3,0,20,2,6,0.333,2,6,0.333,0,0,NA,0.5,1,1,1,0,1,1,0,0,0,0,2,7,"MIL"
"185",11,"Tyler Ennis","PG",75,194,"August 24, 1994","ca","1","Syracuse University",13,1662360,12,21,46,7,654,84,187,0.449,13,39,0.333,71,148,0.48,0.484,25,34,0.735,13,62,75,95,25,1,46,64,206,"MIL"
"186",4,"Arron Afflalo","SG",77,210,"October 15, 1985","us","8","University of California, Los Angeles",3,8000000,2,30,71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909,"NYK"
"187",7,"Carmelo Anthony","SF",80,240,"May 29, 1984","us","12","Syracuse University",1,22875000,1,31,72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573,"NYK"
"188",11,"Cleanthony Early","SF",80,210,"April 17, 1991","us","1","Wichita State University",13,845059,14,24,17,2,154,12,40,0.3,4,15,0.267,8,25,0.32,0.35,3,4,0.75,4,22,26,6,2,3,9,16,31,"NYK"
"189",23,"Derrick Williams","SF",80,240,"May 25, 1991","us","4","University of Arizona",5,4900000,7,24,80,9,1435,254,565,0.45,44,150,0.293,210,415,0.506,0.488,194,256,0.758,47,249,296,75,29,9,61,69,746,"NYK"
"190",13,"Jerian Grant","PG",76,195,"October 9, 1992","us","R","University of Notre Dame",11,1572360,9,23,76,6,1265,154,391,0.394,22,100,0.22,132,291,0.454,0.422,96,123,0.78,23,120,143,177,50,10,87,97,426,"NYK"
"191",32,"Jimmer Fredette","SG",74,195,"February 25, 1989","us","4","Brigham Young University",19,59731,16,26,2,0,5,1,1,1,1,1,1,0,0,NA,1.5,4,5,0.8,0,0,0,0,0,0,1,1,7,"NYK"
"192",3,"Jose Calderon","PG",75,200,"September 28, 1981","es","10","",4,7402812,6,34,72,72,2024,209,455,0.459,84,203,0.414,125,252,0.496,0.552,42,48,0.875,22,207,229,299,63,7,87,135,544,"NYK"
"193",1,"Kevin Seraphin","C",81,285,"December 7, 1989","gf","5","",8,2800000,12,26,48,0,526,84,205,0.41,0,2,0,84,203,0.414,0.41,19,23,0.826,31,95,126,47,8,36,43,67,187,"NYK"
"194",6,"Kristaps Porzingis","PF",87,240,"August 2, 1995","lv","R","",6,4131720,4,20,72,72,2047,373,886,0.421,81,243,0.333,292,643,0.454,0.467,201,240,0.838,132,394,526,93,53,134,121,205,1028,"NYK"
"195",9,"Kyle O'Quinn","PF",82,250,"March 26, 1990","us","3","Norfolk State University",7,3750000,11,25,65,1,764,129,271,0.476,5,22,0.227,124,249,0.498,0.485,46,60,0.767,76,174,250,72,20,49,61,107,309,"NYK"
"196",42,"Lance Thomas","PF",80,235,"April 24, 1988","us","4","Duke University",10,1650000,8,27,59,5,1313,169,382,0.442,44,109,0.404,125,273,0.458,0.5,102,119,0.857,34,97,131,53,22,7,57,109,484,"NYK"
"197",2,"Langston Galloway","PG",74,200,"December 9, 1991","us","1","Saint Joseph's University",14,845059,5,24,82,7,2033,231,588,0.393,77,224,0.344,154,364,0.423,0.458,86,114,0.754,43,245,288,207,77,22,61,177,625,"NYK"
"198",17,"Lou Amundson","PF",81,220,"December 7, 1982","us","9","University of Nevada, Las Vegas",9,1650000,13,33,29,0,204,19,53,0.358,0,0,NA,19,53,0.358,0.358,14,27,0.519,23,26,49,12,6,7,15,44,52,"NYK"
"199",8,"Robin Lopez","C",84,255,"April 1, 1988","us","7","Stanford University",2,13000000,3,27,82,82,2219,357,662,0.539,0,1,0,357,661,0.54,0.539,128,161,0.795,268,334,602,114,16,129,133,182,842,"NYK"
"200",18,"Sasha Vujacic","SG",79,195,"March 8, 1984","si","8","",12,1356146,10,31,61,25,908,106,277,0.383,52,143,0.364,54,134,0.403,0.477,32,39,0.821,26,123,149,84,34,5,44,83,296,"NYK"
"201",43,"Thanasis Antetokounmpo","SF",79,205,"July 17, 1992","gr","R","",16,105888,15,23,2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NA,0,1,1,0,0,0,0,2,6,"NYK"
"202",9,"Andrea Bargnani","C",84,245,"October 26, 1985","it","9","",10,1362900,11,30,46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304,"BRK"
"203",44,"Bojan Bogdanovic","SF",80,216,"April 18, 1989","ba","1","",6,3425510,3,26,79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,"BRK"
"204",11,"Brook Lopez","C",84,275,"April 1, 1988","us","7","Stanford University",2,20000000,1,27,73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501,"BRK"
"205",1,"Chris McCullough","PF",83,200,"February 5, 1995","us","R","Syracuse University",12,1140240,16,20,24,4,362,44,109,0.404,13,34,0.382,31,75,0.413,0.463,11,23,0.478,25,43,68,9,28,12,15,39,112,"BRK"
"206",15,"Donald Sloan","PG",75,205,"January 15, 1988","us","4","Texas A&M University",13,1015421,7,28,61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424,"BRK"
"207",14,"Henry Sims","C",82,248,"March 27, 1990","us","3","Georgetown University",18,161622,17,25,14,4,263,33,77,0.429,0,0,NA,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91,"BRK"
"208",2,"Jarrett Jack","PG",75,200,"October 28, 1983","us","10","Georgia Institute of Technology",4,6300000,8,32,32,32,1027,140,358,0.391,31,102,0.304,109,256,0.426,0.434,100,112,0.893,9,127,136,236,34,7,94,77,411,"BRK"
"210",22,"Markel Brown","SG",75,190,"January 29, 1992","us","1","Oklahoma State University",16,845059,9,24,62,6,982,127,322,0.394,38,121,0.314,89,201,0.443,0.453,71,94,0.755,23,99,122,91,38,15,54,94,363,"BRK"
"211",24,"Rondae Hollis-Jefferson","SF",79,220,"January 3, 1995","us","R","University of Arizona",11,1335480,12,21,29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167,"BRK"
"212",6,"Sean Kilpatrick","SG",76,210,"January 6, 1990","us","1","University of Cincinnati",17,320594,13,26,23,0,534,115,249,0.462,35,97,0.361,80,152,0.526,0.532,53,59,0.898,10,40,50,26,10,2,27,30,318,"BRK"
"213",10,"Sergey Karasev","SF",79,208,"October 26, 1993","ru","2","",7,1599840,15,22,40,5,399,30,74,0.405,11,37,0.297,19,37,0.514,0.48,26,28,0.929,8,50,58,35,6,2,22,27,97,"BRK"
"214",0,"Shane Larkin","PG",71,175,"October 2, 1992","us","2","University of Miami",8,1500000,5,23,78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566,"BRK"
"215",30,"Thaddeus Young","PF",80,221,"June 21, 1988","us","8","Georgia Institute of Technology",3,11200000,2,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,135,112,37,136,182,1102,"BRK"
"216",41,"Thomas Robinson","PF",82,237,"March 17, 1991","us","3","University of Kansas",14,981300,10,24,71,7,917,130,291,0.447,0,1,0,130,290,0.448,0.447,47,109,0.431,136,223,359,46,39,36,69,111,307,"BRK"
"217",21,"Wayne Ellington","SG",76,200,"October 29, 1987","us","6","University of North Carolina",9,1500000,6,28,76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586,"BRK"
"218",33,"Willie Reed","PF",82,220,"May 16, 1990","us","R","Saint Louis University",15,947276,14,25,39,2,426,76,133,0.571,0,0,NA,76,133,0.571,0.571,30,55,0.545,49,73,122,10,6,30,16,47,182,"BRK"
"219",7,"Carl Landry","PF",81,248,"September 19, 1983","us","8","Purdue University",3,6500000,12,32,36,12,569,139,250,0.556,6,13,0.462,133,237,0.561,0.568,67,91,0.736,49,97,146,32,12,9,22,69,351,"PHI"
"220",35,"Christian Wood","PF",83,220,"September 27, 1995","us","R","University of Nevada, Las Vegas",22,305789,16,20,17,0,145,22,53,0.415,4,11,0.364,18,42,0.429,0.453,13,21,0.619,13,25,38,3,5,7,2,11,61,"PHI"
"221",42,"Elton Brand","C",80,275,"March 11, 1979","us","16","Duke University",17,890693,14,36,17,1,225,31,72,0.431,0,1,0,31,71,0.437,0.431,8,9,0.889,9,54,63,18,9,8,11,32,70,"PHI"
"222",31,"Hollis Thompson","SG",80,206,"April 3, 1991","us","2","Georgetown University",16,947276,1,24,77,17,2154,270,680,0.397,149,392,0.38,121,288,0.42,0.507,69,96,0.719,54,218,272,99,36,24,76,187,758,"PHI"
"223",0,"Isaiah Canaan","SG",72,201,"May 21, 1991","us","2","Murray State University",15,947276,3,24,77,39,1966,260,722,0.36,176,485,0.363,84,237,0.354,0.482,150,180,0.833,20,154,174,137,56,12,91,133,846,"PHI"
"224",1,"Ish Smith","PG",72,175,"July 5, 1988","us","5","Wake Forest University",12,1100602,7,27,50,50,1622,299,739,0.405,46,137,0.336,253,602,0.42,0.436,89,133,0.669,29,184,213,348,64,18,130,95,733,"PHI"
"225",8,"Jahlil Okafor","C",83,275,"December 15, 1995","us","R","Duke University",5,4582680,9,20,53,48,1591,397,781,0.508,1,6,0.167,396,775,0.511,0.509,133,194,0.686,122,251,373,65,22,61,124,140,928,"PHI"
"226",9,"JaKarr Sampson","SF",81,214,"March 20, 1993","us","1","St. John's University",18,845059,11,22,47,18,691,86,202,0.426,6,34,0.176,80,168,0.476,0.441,62,97,0.639,30,99,129,30,11,16,51,91,240,"PHI"
"227",39,"Jerami Grant","SF",80,210,"March 12, 1994","us","1","Syracuse University",19,845059,2,21,77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749,"PHI"
"228",5,"Kendall Marshall","PG",76,200,"August 19, 1991","us","3","University of North Carolina",11,2144722,13,24,30,6,400,43,118,0.364,16,49,0.327,27,69,0.391,0.432,9,13,0.692,2,26,28,73,16,2,43,30,111,"PHI"
"229",4,"Nerlens Noel","C",83,228,"April 10, 1994","us","1","University of Kentucky",6,3457800,4,21,67,62,1965,306,587,0.521,1,2,0.5,305,585,0.521,0.522,134,227,0.59,154,388,542,122,118,100,158,192,747,"PHI"
"230",11,"Nik Stauskas","SG",78,205,"October 7, 1993","ca","1","University of Michigan",8,2869440,6,22,73,35,1809,210,545,0.385,106,325,0.326,104,220,0.473,0.483,91,118,0.771,23,160,183,138,44,20,94,115,617,"PHI"
"231",26,"Phil Pressey","PG",71,175,"February 17, 1991","us","2","University of Missouri",23,172739,15,24,14,0,170,21,55,0.382,4,13,0.308,17,42,0.405,0.418,9,18,0.5,0,23,23,46,11,1,19,14,55,"PHI"
